Player7006, 9 - Player7006, 27 ### 
Player3583, 31 - Player3583, 66 ### 
Player6946, 75 - Player6946, 94 ### 
Player517, 111 - Player517, 191 ### 
Player3017, 197 - Player3017, 201 ### 
Player1862, 259 - Player1862, 261 ### 
Player9231, 264 - Player9231, 264 ### 
Player4857, 316 - Player4857, 340 ### 
Player3363, 350 - Player3363, 350 ### 
Player8106, 390 - Player8106, 395 ### 
Player6357, 403 - Player6357, 469 ### 
Player7096, 473 - Player7096, 566 ### 
Player3824, 616 - Player3824, 670 ### 
Player746, 679 - Player746, 682 ### 
Player6865, 684 - Player6865, 699 ### 
Player4461, 724 - Player4461, 726 ### 
Player3623, 729 - Player3623, 730 ### 
Player6588, 748 - Player6588, 759 ### 
Player3645, 796 - Player3645, 803 ### 
Player4093, 818 - Player4093, 859 ### 
Player5962, 919 - Player5962, 934 ### 
Player530, 976 - Player530, 1006 ### 
Player5938, 1044 - Player5938, 1065 ### 
Player7154, 1068 - Player7154, 1069 ### 
Player3944, 1093 - Player3944, 1107 ### 
Player6803, 1119 - Player6803, 1222 ### 
Player3824, 1223 - Player3824, 1245 ### 
Player9657, 1273 - Player9657, 1317 ### 
Player653, 1321 - Player653, 1322 ### 
Player6825, 1326 - Player6825, 1354 ### 
Player5522, 1412 - Player5522, 1436 ### 
Player3994, 1451 - Player3994, 1504 ### 
Player1614, 1516 - Player1614, 1525 ### 
Player7091, 1558 - Player7091, 1591 ### 
Player5898, 1617 - Player5898, 1635 ### 
Player1035, 1647 - Player1035, 1650 ### 
Player4434, 1675 - Player4434, 1708 ### 
Player4135, 1712 - Player4135, 1723 ### 
Player8156, 1728 - Player8156, 1737 ### 
Player6311, 1767 - Player6311, 1790 ### 
Player5717, 1794 - Player5717, 1812 ### 
Player6376, 1849 - Player6376, 1851 ### 
Player7786, 1861 - Player7786, 1878 ### 
Player1910, 1903 - Player1910, 1918 ### 
Player3281, 1948 - Player3281, 1950 ### 
Player8161, 1952 - Player8161, 1988 ### 
Player9348, 1992 - Player9348, 2000 ### 
Player7238, 2010 - Player7238, 2017 ### 
Player1814, 2050 - Player1814, 2051 ### 
Player3784, 2119 - Player3784, 2143 ### 
Player6091, 2148 - Player6091, 2161 ### 
Player2237, 2233 - Player2237, 2246 ### 
Player7306, 2253 - Player7306, 2266 ### 
Player4319, 2286 ### 
